Name,City,District,Street,Postal Address,Phone,Votes,Rating Stars,Kind,Site
1953 Kafe,Bakı,Səbail rayonu,Tərlan Əliyarbəyov küçəsi,9 AZ1000,(+99412) 598-31-73,*** 6 səs,5,Kafelər,http://www.facebook.com/1953kafe/timeline
3 Bochki,Bakı,Nəsimi rayonu,Dilarə Əliyeva küçəsi,251 AZ1010,(+99412) 498-08-12,*** 3 səs,5,Restoranlar,No Site
7 Gözəl Restaurant and Lounge,Bakı,Səbail rayonu,Lermontov küçəsi,123 AZ1001,(+99412) 505-02-03,*** 4 səs,5,Azərbaycan mətbəxi,http://www.facebook.com/pages/7-Gozel-Restaurant-Lounge/1462862043941957
Ada Restoranı,Bakı,Yasamal rayonu,Murtuza Muxtarov küçəsi,179 AZ1000,(+99412) 436-83-29,*** 6 səs,5,Azərbaycan mətbəxi,No Site
Adana Restoranı,Bakı,Xətai rayonu,Süleyman Vəzirov küçəsi,22 AZ1025,(+99412) 480-29-90,*** 3 səs,5,Türk mətbəxi,No Site
Adanalı Hasan Kolcuoğlu,Bakı,Yasamal rayonu,Həsənbəy Zərdabi küçəsi,20 AZ1000,(+99412) 565-71-35,No Rating,4,Türk mətbəxi,No Site
Akdeniz Lahmacun,Bakı,6-cı mikrorayon,İlqar Cümşüdov küçəsi,1C AZ1000,(+99412) 480-47-78,*** 11 səs,5,Türk mətbəxi,No Site
Albalıq restoranı,Bakı,Nəsimi rayonu,Bakıxanov küçəsi,88D AZ1000,(+99412) 441-11-80,No Rating,4,Yeməyin çatdırılması,http://www.facebook.com/albaliq?fref=ts
Alhambra Lounge,Bakı,Nəsimi rayonu,Süleyman Rüstəm küçəsi,21 AZ1000,(+99412) 441-32-99,No Rating,4,Yeməyin çatdırılması,No Site
Alma Restoranı,Bakı,Səbail rayonu,Tərlan Əliyarbəyov küçəsi,8 AZ1000,(+99412) 493-49-23,*** 4 səs,5,Kafelər,http://www.facebook.com/alma.restoran
Alov Restoran,Bakı,Səbail rayonu,Mehdi Hüseynzadə küçəsi,1A AZ1006,(+99412) 565-48-48,*** 3 səs,5,Restoranlar,http://www.fairmont.com
Altun Restoranı,Bakı,4-cü mikrorayon,Hüseyn Seyidzadə küçəsi,35 AZ1000,(+99412) 511-22-19,No Rating,3,Azərbaycan mətbəxi,http://www.facebook.com/Altunrestoran/timeline
Altun Süfrə restoranı,Bakı,Nərimanov rayonu,Yusif Vəzir Çəmənzəminli küçəsi,23/53 AZ1052,(+99412) 555-16-37,*** 3 səs,5,Türk mətbəxi,No Site
Amber Restoran,Bakı,Yasamal rayonu,Cəfər Cabbarlı küçəsi,29 AZ1009,(+99412) 594-01-47,No Rating,4,Restoranlar,http://www.amberhotel.az
Amburan Beach Club,Bakı,Bilgəh qəsəbəsi,Sabunçu rayonu AZ1000,No Postal Address,(+99455) 300-50-00,No Rating,4,Restoranlar,http://www.amburan.com
Anadolu restoranı,Bakı,Səbail rayonu,Puşkin küçəsi,5 AZ1000,(+99412) 944,*** 3 səs,5,Türk mətbəxi,http://www.anadolu.az
Anatolia Restoranı,Bakı,Nizami rayonu,Qara Qarayev prospekti,74 AZ1096,(+99412) 422-47-48,*** 3 səs,5,Türk mətbəxi,No Site
Anazya restoranı,Bakı,Nərimanov rayonu,Əliəşrəf Əlizadə küçəsi,45 AZ1000,(+99451) 980-99-99,*** 5 səs,5,Kafelər,No Site
Antep Lahmacun Memar Əcəmi m.,Bakı,Nəsimi rayonu,Hüseynbala Əliyev küçəsi,4 AZ1000,(+99412) 530-33-42,No Rating,4,Türk mətbəxi,No Site
Antep Lahmacun Neftçilər m.,Bakı,Nizami rayonu,Rüstəm Rüstəmov küçəsi,27 AZ1000,(+99412) 421-74-71,No Rating,4,Türk mətbəxi,No Site
Antep Lahmacun Nizami filialı,Bakı,Nizami rayonu,Qara Qarayev prospekti,65 AZ1000,(+99412) 511-12-62,No Rating,4,Türk mətbəxi,No Site
Arabica Lounge,Bakı,Səbail rayonu,Tərlan Əliyarbəyov küçəsi,9 AZ1000,(+99412) 493-53-08,No Rating,,Restoranlar,http://www.facebook.com/ArabicaLounge.az
Aran Restoran,Bakı,Səbail rayonu,Gülbala Əliyev küçəsi,5 AZ1000,(+99412) 491-48-77,*** 2 səs,5,Restoranlar,No Site
Araz Kafe,Bakı,Səbail rayonu,İslam Səfərli küçəsi,1 AZ1000,(+99412) 492-48-46,No Rating,4,Azərbaycan mətbəxi,http://www.facebook.com/pages/Araz/227466730600850
ARIA Restaurant & Lounge,Bakı,Yasamal rayonu,Mikayıl Müşfiq küçəsi,15 AZ1000,(+99412) 538-40-20,No Rating,4,Restoranlar,http://www.facebook.com/ariabaku?ref=br_rs
Aristocrat Restoran,Bakı,Nəsimi rayonu,Səməd Vurğun küçəsi,23 AZ1000,(+99412) 598-00-55,*** 1 səs,5,Restoranlar,http://www.facebook.com/Aristocratbaku
Aristokrat Restoran və Mehmanxana,Bakı,Binəqədi rayonu,2096 məhəllə,9 AZ1000,(+99412) 566-49-74,No Rating,4,Restoranlar,No Site
Arma Restoranı,Bakı,Ələsgər Ələkbərov küçəsi,Yasamal rayonu,535 AZ1000,(+99412) 510-31-01,No Rating,4,Restoranlar,No Site
Armani Caffe,Bakı,Səbail rayonu,Neftçilər prospekti,151 AZ1000,(+99412) 404-13-34,*** 2 səs,5,Kafelər,http://www.armaniristorante.com
Art Garden,Bakı,Səbail rayonu,Asəf Zeynallı küçəsi,22 AZ1000,(+99412) 492-13-31,*** 3 səs,5,Azərbaycan mətbəxi,http://www.artgroup.az
Art Restoran,Bakı,Səbail rayonu,Хaqani küçəsi,19 AZ1000,(+99412) 598-22-21,*** 3 səs,5,Restoranlar,No Site
Art's Cool Gallery & Tavern,Bakı,Səbail rayonu,Asəf Zeynallı küçəsi,63 AZ1000,(+99470) 229-45-45,*** 3 səs,5,Kafelər,http://www.facebook.com/pages/Arts-Cool-Gallery-Tavern/1468435030076588?sk=timeline
As Lounge,Bakı,Nəsimi rayonu,Hüseynbala Əliyev küçəsi,48C AZ1000,(+99412) 569-08-42,*** 2 səs,5,Restoranlar,http://www.facebook.com/As.lounge.club/timeline?ref=page_internal
Asia Turk restoranı,Bakı,Nəsimi rayonu,Rəşid Behbudov küçəsi,17 AZ1000,(+99412) 498-91-32,*** 2 səs,5,Türk mətbəxi,No Site
Asiman Restoranı,Bakı,Xətai rayonu,Həzi Aslanov küçəsi,1 AZ1000,(+99450) 226-05-00,No Rating,3,Restoranlar,http://www.facebook.com/pages/Asiman-Restaurant/1511069512445289?ref=br_rs
Assorti Restoranı,Bakı,9-cu mikrorayon,Binəqədi rayonu,Mir Cəlal küçəsi,(+99412) 568-42-03,No Rating,4,Şadlıq evləri,No Site
Astoria Restoran,Bakı,Xətai rayonu,Babək prospekti,76 AZ1030,(+99412) 370-93-00,*** 2 səs,5,Restoranlar,http://www.arestoran.serin.az
Asya Türk Restoranı,Bakı,Nəsimi rayonu,Rəşid Behbudov küçəsi,17,(+99412) 498-91-32,*** 2 səs,5,Türk mətbəxi,http://www.facebook.com/AsyaTurkRestorantBaku?fref=nf
Atelye 61 restoranı,Bakı,Qurban Abbasov küçəsi,Səbail rayonu AZ1000,No Postal Address,(+99412) 404-82-16,*** 2 səs,5,Kafelər,http://www.facebook.com/pages/ATELYE-61/505103486273920
Atlantis restoranı,Bakı,Yasamal rayonu,Həsənbəy Zərdabi küçəsi,20 AZ1012,(+99412) 565-71-31,No Rating,3,Restoranlar,No Site
